Designator,Mid X,Mid Y,Rotation,Layer
SW1,42.13,-53.98,0.0,top
SW10,213.58,-53.98,0.0,top
SW11,232.63,-53.98,0.0,top
SW12,251.68,-53.98,0.0,top
SW13,42.13,-73.03,0.0,top
SW14,61.18,-73.03,0.0,top
SW15,80.23,-73.03,0.0,top
SW16,99.28,-73.03,0.0,top
SW17,118.33,-73.03,0.0,top
SW18,137.38,-73.03,0.0,top
SW19,156.43,-73.03,0.0,top
SW2,61.18,-53.98,180.0,top
SW20,175.48,-73.03,0.0,top
SW21,194.53,-73.03,0.0,top
SW22,213.58,-73.03,0.0,top
SW23,232.63,-73.03,0.0,top
SW24,251.68,-73.03,0.0,top
SW25,42.13,-92.08,0.0,top
SW26,61.18,-92.08,0.0,top
SW27,80.23,-92.08,0.0,top
SW28,99.28,-92.08,0.0,top
SW29,118.33,-92.08,0.0,top
SW3,80.23,-53.98,180.0,top
SW30,137.38,-92.08,0.0,top
SW31,156.43,-92.08,0.0,top
SW32,175.48,-92.08,0.0,top
SW33,194.53,-92.08,0.0,top
SW34,213.58,-92.08,0.0,top
SW35,232.63,-92.08,0.0,top
SW36,251.68,-92.08,0.0,top
SW37,42.13,-111.13,0.0,top
SW38,61.18,-111.13,0.0,top
SW39,80.23,-111.13,0.0,top
SW4,99.28,-53.98,0.0,top
SW40,99.28,-111.13,0.0,top
SW41,118.33,-111.13,0.0,top
SW42,137.38,-111.13,0.0,top
SW43,156.43,-111.13,0.0,top
SW44,175.48,-111.13,0.0,top
SW45,194.53,-111.13,0.0,top
SW46,213.58,-111.13,0.0,top
SW47,232.63,-111.13,0.0,top
SW48,251.68,-111.13,0.0,top
SW49,42.13,-130.18,0.0,top
SW5,118.33,-53.98,0.0,top
SW50,61.18,-130.18,0.0,top
SW51,80.23,-130.18,0.0,top
SW52,99.28,-130.18,0.0,top
SW57,194.53,-130.18,0.0,top
SW58,213.58,-130.18,0.0,top
SW59,232.63,-130.18,0.0,top
SW6,137.38,-53.98,0.0,top
SW60,251.68,-130.18,0.0,top
SW7,156.43,-53.98,0.0,top
SW8,175.48,-53.98,0.0,top
SW9,194.53,-53.98,0.0,top
